website,stars
https://github.com/pedrovgs/DraggablePanel,2775
https://github.com/wuhaoyu1990/MagicCamera,2773
https://github.com/MiguelCatalan/MaterialSearchView,2772
https://github.com/Justson/AgentWeb,2771
https://github.com/andremion/Music-Player,2753
https://github.com/biezhi/blade,2752
https://github.com/lzyzsd/CircleProgress,2736
https://github.com/alamkanak/Android-Week-View,2727
https://github.com/Manabu-GT/ExpandableTextView,2727
https://github.com/barteksc/AndroidPdfViewer,2720
https://github.com/drakeet/MultiType,2703
https://github.com/amitshekhariitbhu/RxJava2-Android-Samples,2699
https://github.com/lsjwzh/RecyclerViewPager,2695
https://github.com/psaravan/JamsMusicPlayer,2694
https://github.com/SimonVT/android-menudrawer,2693
https://github.com/hitherejoe/animate,2691
https://github.com/Microsoft/malmo,2687
https://github.com/jpush/aurora-imui,2685
https://github.com/ongakuer/CircleIndicator,2685
https://github.com/google/cameraview,2684
https://github.com/stleary/JSON-java,2677
https://github.com/h2oai/h2o-3,2667
https://github.com/google/google-authenticator,2667
https://github.com/Tencent/GT,2665
https://github.com/qii/weiciyuan,2663
https://github.com/amitshekhariitbhu/Fast-Android-Networking,2660
https://github.com/siacs/Conversations,2655
https://github.com/xcltapestry/XCL-Charts,2655
https://github.com/JulienGenoud/android-percent-support-lib-sample,2654
https://github.com/airbnb/native-navigation,2646
https://github.com/cyrilmottier/GreenDroid,2644
https://github.com/Ashok-Varma/BottomNavigation,2641
https://github.com/rest-assured/rest-assured,2641
https://github.com/hs-web/hsweb-framework,2640
https://github.com/dmytrodanylyk/android-process-button,2639
https://github.com/airbnb/DeepLinkDispatch,2634
https://github.com/codeestX/GeekNews,2631
https://github.com/openaphid/android-flip,2628
https://github.com/checkstyle/checkstyle,2627
https://github.com/yanzhenjie/SwipeRecyclerView,2623
https://github.com/ragunathjawahar/android-saripaar,2622
https://github.com/flyway/flyway,2622
https://github.com/code-troopers/android-betterpickers,2621
https://github.com/SpecialCyCi/AndroidResideMenu,2616
https://github.com/lovetuzitong/MultiImageSelector,2609
https://github.com/google/grafika,2608
https://github.com/jfeinstein10/JazzyViewPager,2608
https://github.com/TeamNewPipe/NewPipe,2606
https://github.com/bluelinelabs/Conductor,2601
https://github.com/NYTimes/Store,2596
https://github.com/sherxon/AlgoDS,2595
https://github.com/alibaba/otter,2590
https://github.com/yipianfengye/android-zxingLibrary,2584
https://github.com/Skykai521/StickerCamera,2584
https://github.com/pushtorefresh/storio,2569
https://github.com/aurelhubert/ahbottomnavigation,2565
https://github.com/amulyakhare/TextDrawable,2564
https://github.com/johannilsson/android-pulltorefresh,2558
https://github.com/jwtk/jjwt,2556
https://github.com/Jacksgong/JKeyboardPanelSwitch,2553
https://github.com/yui/yuicompressor,2553
https://github.com/Malinskiy/SuperRecyclerView,2550
https://github.com/socketio/socket.io-client-java,2539
https://github.com/nisrulz/android-tips-tricks,2538
https://github.com/edmodo/cropper,2534
https://github.com/arimorty/floatingsearchview,2533
https://github.com/JeffLi1993/springboot-learning-example,2532
https://github.com/orhanobut/hawk,2529
https://github.com/beworker/pinned-section-listview,2522
https://github.com/square/flow,2519
https://github.com/afollestad/material-camera,2509
https://github.com/jersey/jersey,2509
https://github.com/yasserg/crawler4j,2486
https://github.com/k0shk0sh/FastHub,2475
https://github.com/facebook/network-connection-class,2474
https://github.com/shekhargulati/99-problems,2468
https://github.com/saulmm/Material-Movies,2464
https://github.com/JohnPersano/SuperToasts,2462
https://github.com/chennaione/sugar,2455
https://github.com/material-components/material-components-android,2451
https://github.com/romandanylyk/PageIndicatorView,2449
https://github.com/spring-projects/spring-security-oauth,2447
https://github.com/Comcast/FreeFlow,2447
https://github.com/dongjunkun/DropDownMenu,2445
https://github.com/jiangqqlmj/FastDev4Android,2445
https://github.com/Yalantis/GuillotineMenu-Android,2444
https://github.com/zzz40500/GsonFormat,2442
https://github.com/kevinsawicki/http-request,2439
https://github.com/gyf-dev/ImmersionBar,2436
https://github.com/sohutv/cachecloud,2434
https://github.com/Teevity/ice,2422
https://github.com/cjlin1/libsvm,2417
https://github.com/jeasonlzy/ImagePicker,2417
https://github.com/JakeWharton/scalpel,2415
https://github.com/path/android-priority-jobqueue,2413
https://github.com/Meituan-Dianping/Robust,2413
https://github.com/react-native-community/react-native-video,2409
https://github.com/Bilibili/MagicaSakura,2405
https://github.com/mihaip/dex-method-counts,2400
https://github.com/facebook/shimmer-android,2400
https://github.com/willowtreeapps/spruce-android,2397
https://github.com/rubensousa/PreviewSeekBar,2387
https://github.com/Todd-Davies/ProgressWheel,2387
https://github.com/gephi/gephi,2386
https://github.com/youlookwhat/CloudReader,2383
https://github.com/Tencent/MSEC,2382
https://github.com/OpenFeign/feign,2382
https://github.com/balysv/material-menu,2378
https://github.com/Meituan-Dianping/walle,2371
https://github.com/LyndonChin/MasteringAndroidDataBinding,2366
https://github.com/sqshq/PiggyMetrics,2366
